     istep       time        |phi|^2       |apar|^2       |bpar|^2
      6880   6.8800E+001   7.1927E+005   0.0000E+000   0.0000E+000
      6900   6.9000E+001   7.5303E+005   0.0000E+000   0.0000E+000
      6920   6.9200E+001   7.8837E+005   0.0000E+000   0.0000E+000
      6940   6.9400E+001   8.2538E+005   0.0000E+000   0.0000E+000
      6960   6.9600E+001   8.6412E+005   0.0000E+000   0.0000E+000
      6980   6.9800E+001   9.0468E+005   0.0000E+000   0.0000E+000
      7000   7.0000E+001   9.4715E+005   0.0000E+000   0.0000E+000
      7020   7.0200E+001   9.9162E+005   0.0000E+000   0.0000E+000
      7040   7.0400E+001   1.0382E+006   0.0000E+000   0.0000E+000
      7060   7.0600E+001   1.0869E+006   0.0000E+000   0.0000E+000
      7080   7.0800E+001   1.1379E+006   0.0000E+000   0.0000E+000
      7100   7.1000E+001   1.1914E+006   0.0000E+000   0.0000E+000
      7120   7.1200E+001   1.2473E+006   0.0000E+000   0.0000E+000
      7140   7.1400E+001   1.3059E+006   0.0000E+000   0.0000E+000
      7160   7.1600E+001   1.3672E+006   0.0000E+000   0.0000E+000
      7180   7.1800E+001   1.4314E+006   0.0000E+000   0.0000E+000
      7200   7.2000E+001   1.4986E+006   0.0000E+000   0.0000E+000
      7220   7.2200E+001   1.5690E+006   0.0000E+000   0.0000E+000
      7240   7.2400E+001   1.6427E+006   0.0000E+000   0.0000E+000
      7260   7.2600E+001   1.7198E+006   0.0000E+000   0.0000E+000
      7280   7.2800E+001   1.8006E+006   0.0000E+000   0.0000E+000
      7300   7.3000E+001   1.8851E+006   0.0000E+000   0.0000E+000
      7320   7.3200E+001   1.9736E+006   0.0000E+000   0.0000E+000
      7340   7.3400E+001   2.0663E+006   0.0000E+000   0.0000E+000
      7360   7.3600E+001   2.1634E+006   0.0000E+000   0.0000E+000
      7380   7.3800E+001   2.2650E+006   0.0000E+000   0.0000E+000
      7400   7.4000E+001   2.3713E+006   0.0000E+000   0.0000E+000
      7420   7.4200E+001   2.4827E+006   0.0000E+000   0.0000E+000
      7440   7.4400E+001   2.5993E+006   0.0000E+000   0.0000E+000
      7460   7.4600E+001   2.7213E+006   0.0000E+000   0.0000E+000
      7480   7.4800E+001   2.8491E+006   0.0000E+000   0.0000E+000
